question,time,type,datetime
Convert probability 2/6 to decimal odds:,0.99,fraction,2025-04-24 16:45:44
Convert probability 4/12 to decimal odds:,0.94,fraction,2025-04-24 16:45:44
Convert probability 0.7500 to decimal odds:,2.72,decimal,2025-04-24 16:45:44
Convert probability 0.6667 to decimal odds:,1.45,decimal,2025-04-24 16:45:44
Convert probability 0.1000 to decimal odds:,1.17,decimal,2025-04-24 16:45:44
Convert probability 2/8 to decimal odds:,0.96,fraction,2025-04-24 16:45:44
Convert probability 4/10 to decimal odds:,1.91,fraction,2025-04-24 16:45:44
Convert probability 0.5000 to decimal odds:,0.82,decimal,2025-04-24 16:45:44
Convert probability 0.2500 to decimal odds:,0.8,decimal,2025-04-24 16:45:44
Convert probability 0.5000 to decimal odds:,0.75,decimal,2025-04-24 16:45:44
Convert probability 1/5 to decimal odds:,0.83,fraction,2025-04-24 16:45:44
Convert probability 4/8 to decimal odds:,0.83,fraction,2025-04-24 16:45:44
Convert probability 1/2 to decimal odds:,0.86,fraction,2025-04-24 16:45:44
Convert probability 0.3333 to decimal odds:,0.88,decimal,2025-04-24 16:45:44
Convert probability 8/20 to decimal odds:,4.26,fraction,2025-04-24 16:45:44
Convert probability 0.6000 to decimal odds:,6.08,decimal,2025-04-24 16:45:44
Convert probability 7/10 to decimal odds:,2.82,fraction,2025-04-24 16:45:44
