question,time,type,datetime
620 ÷ 62,1.38,division,2025-01-12 15:00:00
7 × 44,6.27,multiplication,2025-01-12 15:01:00
43 + 24,3.95,addition,2025-01-12 15:02:00
78 + 48,4.51,addition,2025-01-12 15:03:00
60 + 67,1.47,addition,2025-01-12 15:04:00
5 + 39,2.06,addition,2025-01-12 15:05:00
7 + 20,1.24,addition,2025-01-12 15:06:00
44 + 55,1.39,addition,2025-01-12 15:07:00
93 - 82,1.71,subtraction,2025-01-12 15:08:00
637 ÷ 91,4.3,division,2025-01-12 15:09:00
91 - 7,2.68,subtraction,2025-01-12 15:10:00
80 ÷ 20,1.13,division,2025-01-12 15:11:00
40 - 3,3.96,subtraction,2025-01-12 15:12:00
12 × 5,1.05,multiplication,2025-01-12 15:13:00
5 × 34,3.29,multiplication,2025-01-12 15:14:00
55 - 40,1.29,subtraction,2025-01-12 15:15:00
8 × 13,3.06,multiplication,2025-01-12 15:16:00
6 × 89,5.28,multiplication,2025-01-12 15:17:00
100 + 11,2.15,addition,2025-01-12 15:18:00
93 - 36,4.1,subtraction,2025-01-12 15:19:00
984 ÷ 82,5.92,division,2025-01-12 15:20:00
60 + 68,1.83,addition,2025-01-12 15:21:00
98 - 47,3.25,subtraction,2025-01-12 15:22:00
6 × 7,1.42,multiplication,2025-01-12 15:23:00
10 × 69,1.44,multiplication,2025-01-12 15:24:00
51 - 35,1.69,subtraction,2025-01-12 15:25:00
22 - 18,2.22,subtraction,2025-01-12 15:26:00
66 - 39,6.1,subtraction,2025-01-12 15:27:00
31 + 23,4.46,addition,2025-01-12 15:28:00
440 ÷ 40,2.42,division,2025-01-12 15:29:00
71 + 85,4.6,addition,2025-01-12 15:30:00
273 ÷ 39,2.68,division,2025-01-12 15:31:00
16 + 36,1.58,addition,2025-01-12 15:32:00
53 - 15,4.14,subtraction,2025-01-12 15:33:00
97 + 26,2.52,addition,2025-01-12 15:34:00
99 - 62,6.67,subtraction,2025-01-12 15:35:00
97 - 73,2.52,subtraction,2025-01-12 15:36:00
304 ÷ 38,2.37,division,2025-01-12 15:37:00
7 × 3,1.04,multiplication,2025-01-12 15:38:00
6 + 24,1.23,addition,2025-01-12 15:39:00
7 × 83,5.1,multiplication,2025-01-12 15:40:00
62 - 29,2.13,subtraction,2025-01-12 15:41:00
86 - 62,1.77,subtraction,2025-01-12 15:42:00
45 - 13,2.38,subtraction,2025-01-12 15:43:00
71 + 43,2.71,addition,2025-01-12 15:44:00
297 ÷ 99,2.0,division,2025-01-12 15:45:00
630 ÷ 70,1.49,division,2025-01-12 15:46:00
280 ÷ 35,6.78,division,2025-01-12 15:47:00
44 ÷ 4,1.11,division,2025-01-12 15:48:00
2 × 20,1.15,multiplication,2025-01-12 15:49:00
4 × 20,1.12,multiplication,2025-01-12 15:50:00
50 + 77,1.39,addition,2025-01-12 15:51:00
48 - 34,1.28,subtraction,2025-01-12 15:52:00
95 - 63,2.19,subtraction,2025-01-12 15:53:00
475 ÷ 95,1.73,division,2025-01-12 15:54:00
76 + 77,2.7,addition,2025-01-12 15:55:00
11 × 42,2.33,multiplication,2025-01-12 15:56:00
410 ÷ 41,1.52,division,2025-01-12 15:57:00
53 + 20,1.47,addition,2025-01-12 15:58:00
6 × 18,5.62,multiplication,2025-01-12 15:59:00
56 ÷ 28,1.11,division,2025-01-12 16:00:00
20 + 22,1.1,addition,2025-01-12 16:01:00  
6 × 33,3.25,multiplication,2025-01-12 16:02:00  
17 + 85,4.49,addition,2025-01-12 16:03:00  
18 - 8,0.83,subtraction,2025-01-12 16:04:00  
24 + 97,2.76,addition,2025-01-12 16:05:00  
99 - 14,2.78,subtraction,2025-01-12 16:06:00  
62 + 78,2.88,addition,2025-01-12 16:07:00  
98 - 34,2.63,subtraction,2025-01-12 16:08:00  
39 + 43,2.68,addition,2025-01-12 16:09:00  
71 - 65,1.73,subtraction,2025-01-12 16:10:00  
10 × 17,1.09,multiplication,2025-01-12 16:11:00  
82 + 30,1.68,addition,2025-01-12 16:12:00  
6 + 46,1.19,addition,2025-01-12 16:13:00  
42 + 68,2.58,addition,2025-01-12 16:14:00  
90 - 26,4.07,subtraction,2025-01-12 16:15:00  
4 × 16,2.08,multiplication,2025-01-12 16:16:00  
80 - 25,2.54,subtraction,2025-01-12 16:17:00  
41 - 8,1.49,subtraction,2025-01-12 16:18:00  
616 ÷ 77,2.29,division,2025-01-12 16:19:00  
450 ÷ 45,1.42,division,2025-01-12 16:20:00  
12 + 76,2.92,addition,2025-01-12 16:21:00  
13 + 83,2.51,addition,2025-01-12 16:22:00  
2 × 83,1.96,multiplication,2025-01-12 16:23:00  
6 × 19,7.06,multiplication,2025-01-12 16:24:00  
72 + 2,1.22,addition,2025-01-12 16:25:00  
750 ÷ 75,1.24,division,2025-01-12 16:26:00  
87 - 34,2.96,subtraction,2025-01-12 16:27:00  
87 - 72,3.49,subtraction,2025-01-12 16:28:00  
84 - 13,2.58,subtraction,2025-01-12 16:29:00  
74 - 7,1.42,subtraction,2025-01-12 16:30:00  
8 × 6,3.9,multiplication,2025-01-12 16:31:00  
6 × 10,0.95,multiplication,2025-01-12 16:32:00  
88 + 27,2.9,addition,2025-01-12 16:33:00  
19 - 6,1.28,subtraction,2025-01-12 16:34:00  
124 ÷ 62,1.43,division,2025-01-12 16:35:00  
38 - 6,1.62,subtraction,2025-01-12 16:36:00  
960 ÷ 96,1.09,division,2025-01-12 16:37:00  
