datetime,score,addition_first_range,addition_second_range,multiplication_first_range,multiplication_first_range,duration
2025-01-12 15:00:49,6,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 15:08:49,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 15:18:49,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 15:28:49,8,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 15:38:49,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 16:08:49,6,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 16:18:49,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 16:28:49,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 16:30:49,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 16:38:49,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 16:54:20,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 17:02:37,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 17:52:39,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 19:06:26,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 19:07:03,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 19:07:37,7,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 19:08:16,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 19:08:53,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 20:06:08,9,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 20:06:43,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 20:08:11,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 21:30:38,8,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 21:31:14,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-12 21:31:53,7,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-13 21:01:37,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-13 21:02:15,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-13 21:02:51,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-13 22:50:33,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-13 23:32:07,7,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-14 20:36:15,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-14 20:36:47,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-14 20:37:24,6,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-14 20:37:58,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-14 20:38:39,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:15:00,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:15:36,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:16:29,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:17:09,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:17:45,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:18:41,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:19:14,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:21:16,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:22:54,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-15 23:23:30,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-18 16:37:51,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-18 16:38:24,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-18 16:38:57,6,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-19 13:58:21,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-19 13:58:54,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-19 14:16:30,7,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-19 20:26:10,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-21 23:42:22,6,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-21 23:42:55,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-24 21:20:35,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-24 21:21:13,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-24 21:50:23,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 10:43:30,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 10:44:12,8,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 10:47:28,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 10:48:53,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 10:49:34,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 10:50:07,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 13:48:57,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 13:58:33,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-26 19:42:55,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-27 13:19:51,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-01-28 14:59:35,6,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-01 13:38:15,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-01 13:38:49,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-01 13:39:22,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-01 13:43:26,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
